=====================
station: 北京地铁1号线
from:陶然桥, to:永定门外, len:1063
from:永定门外, to:景泰, len:1119
from:景泰, to:蒲黄榆, len:1025
from:蒲黄榆, to:方庄, len:1486
from:方庄, to:十里河, len:1618
from:十里河, to:南八里庄, len:1147
from:南八里庄, to:北工大西门, len:1276
from:北工大西门, to:平乐园, len:1128
from:平乐园, to:九龙山, len:897
from:九龙山, to:大望路, len:1780
from:大望路, to:红庙, len:708
from:红庙, to:金台路, len:894
from:金台路, to:朝阳公园, len:1085
from:朝阳公园, to:枣营, len:1221
from:枣营, to:东风北桥, len:2173
from:东风北桥, to:将台, len:1600
from:将台, to:高家园, len:1171
from:高家园, to:望京南, len:676
from:望京南, to:阜通, len:1168
from:阜通, to:望京, len:903
from:望京, to:东湖渠, len:1283
from:东湖渠, to:来广营, len:1100
from:来广营, to:善各庄, len:1364
=====================
station: 北京地铁15号线
from:清华东路西口, to:六道口, len:1144
from:六道口, to:北沙滩, len:1337
from:北沙滩, to:奥林匹克公园, len:1999
from:奥林匹克公园, to:安立路, len:1368
from:安立路, to:大屯路东, len:938
from:大屯路东, to:关庄, len:1087
from:关庄, to:望京西, len:2071
from:望京西, to:望京, len:1758
from:望京, to:望京东, len:1652
from:望京东, to:崔各庄, len:2295
from:崔各庄, to:马泉营, len:2008
from:马泉营, to:孙河, len:3309
from:孙河, to:国展, len:3386
from:国展, to:花梨坎, len:1615
from:花梨坎, to:后沙峪, len:3354
from:后沙峪, to:南法信, len:4576
from:南法信, to:石门, len:2712
from:石门, to:顺义, len:1331
from:顺义, to:俸伯, len:2441
=====================
station: 北京地铁16号线
from:西苑, to:农大南路, len:3000
from:农大南路, to:马连洼, len:1600
from:马连洼, to:西北旺, len:2100
from:西北旺, to:永丰南, len:2000
from:永丰南, to:永丰, len:1300
from:永丰, to:屯佃, len:2000
from:屯佃, to:稻香湖路, len:2500
from:稻香湖路, to:温阳路, len:2000
from:温阳路, to:北安河, len:2600
=====================
station: 北京地铁八通线
from:四惠, to:四惠东, len:1715
from:四惠东, to:高碑店, len:1375
from:高碑店, to:传媒大学, len:2002
from:传媒大学, to:双桥, len:1894
from:双桥, to:管庄, len:1912
from:管庄, to:八里桥, len:1763
from:八里桥, to:通州北苑, len:1700
from:通州北苑, to:果园, len:1465
from:果园, to:九棵树, len:990
from:九棵树, to:梨园, len:1225
from:梨园, to:临河里, len:1257
from:临河里, to:土桥, len:776
=====================
station: 北京地铁昌平线
from:昌平西山口, to:十三陵景区, len:1213
from:十三陵景区, to:昌平, len:3508
from:昌平, to:昌平东关, len:2433
from:昌平东关, to:北邵洼, len:1683
from:北邵洼, to:南邵, len:1958
from:南邵, to:沙河高教园, len:5357
from:沙河高教园, to:沙河, len:1964
from:沙河, to:巩华城, len:2025
from:巩华城, to:朱辛庄, len:3799
from:朱辛庄, to:生命科学园, len:2367
from:生命科学园, to:西二旗, len:5440
=====================
station: 北京地铁亦庄线
from:宋家庄, to:肖村, len:2631
from:肖村, to:小红门, len:1275
from:小红门, to:旧宫, len:2366
from:旧宫, to:亦庄桥, len:1982
from:亦庄桥, to:亦庄文化园, len:993
from:亦庄文化园, to:万源街, len:1728
from:万源街, to:荣京东街, len:1090
from:荣京东街, to:荣昌东街, len:1355
from:荣昌东街, to:同济南路, len:2337
from:同济南路, to:经海路, len:2301
from:经海路, to:次渠南, len:2055
from:次渠南, to:次渠, len:1281
=====================
station: 北京地铁房山线
from:郭公庄, to:大葆台, len:1405
from:大葆台, to:稻田, len:6466
from:稻田, to:长阳, len:4041
from:长阳, to:篱笆房, len:2150
from:篱笆房, to:广阳城, len:1474
from:广阳城, to:良乡大学城北, len:2003
from:良乡大学城北, to:良乡大学城, len:1188
from:良乡大学城, to:良乡大学城西, len:1738
from:良乡大学城西, to:良乡南关, len:1332
from:良乡南关, to:苏庄, len:1330
